Qno.,word,FClass,CClass
0,serfdom develop leave Russia,manner,DESC
1,films featured character Popeye Doyle,cremat,ENTY
2,can find list celebrities ' real names,manner,DESC
3,fowl grabs spotlight Chinese Year Monkey,animal,ENTY
4,full form .com,exp,ABBR
5,contemptible scoundrel stole cork lunch,ind,HUM
6,team baseball St. Louis Browns become,gr,HUM
7,oldest profession,title,HUM
8,liver enzymes,def,DESC
9,Name scar-faced bounty hunter Old West .,ind,HUM
10,Ozzy Osbourne born,date,NUM
11,heavier objects travel downhill faster,reason,DESC
12,Pride Yankees,ind,HUM
13,killed Gandhi,ind,HUM
14,considered costliest disaster insurance industry ever faced,event,ENTY
15,sprawling U.S. state boasts airports,state,LOC
16,repealed amendment U.S. Constitution deal,desc,DESC
17,many Jews executed concentration camps WWII,count,NUM
18,`` Nine Inch Nails '',def,DESC
19,annotated bibliography,def,DESC
20,date Boxing Day,date,NUM
21,articles clothing tokens Monopoly,other,ENTY
22,Name 11 famous martyrs .,ind,HUM
23,Olympic motto,desc,DESC
24,origin name ` Scarlett ',desc,DESC
25,second-most-used vowel English,letter,ENTY
26,inventor silly putty,ind,HUM
27,highest waterfall United States,other,LOC
28,Name golf course Myrtle Beach .,other,ENTY
29,two states enclose Chesapeake Bay,state,LOC
30,abbreviation AIDS stand,exp,ABBR
31,spermologer collect,other,ENTY
32,many points make perfect fivepin bowling score,count,NUM
33,company manufactures video-game hardware sells `` super system '',gr,HUM
34,many Community Chest cards Monopoly,count,NUM
35,Mormons believe,desc,DESC
36,neanderthal man live,date,NUM
37,religion Isis nature goddess,religion,ENTY
38,adventures `` Swiss Family Robinson '' take place,other,LOC
39,relative racoon sometimes known cat-bear,animal,ENTY
40,can register website Yahoo free,manner,DESC
41,cash-conscious Colonel Edwin L. Drake first drill,other,ENTY
42,many people world speak French,count,NUM
43,many inches six feet Venus de Milo,count,NUM
44,find choose witnesses execution,manner,DESC
45,1920s cowboy star rode Tony Wonder Horse,ind,HUM
46,cocktail inspired John Doxat write book Stirred-Not Shaken,food,ENTY
47,ISPs exist Caribbean,gr,HUM
48,ask total stranger date,manner,DESC
49,weapon mythological character Apollo proficient,other,ENTY
50,country Galapagos Islands belong,country,LOC
51,ethology,def,DESC
52,prophet Muslim people,ind,HUM
53,term `` 86ed '' come,desc,DESC
54,Snoopy arch-enemy,ind,HUM
55,nature learning,def,DESC
56,color Johnny Cash wears stage,color,ENTY
57,term young fox,termeq,ENTY
58,U.S. state lived six flags,state,LOC
59,Kashmir issue,def,DESC
60,Loop,other,LOC
61,`` extended definition '' mean one write paper,def,DESC
62,country capital Tirana,country,LOC
63,titanium,def,DESC
64,Herb Tootsie live next door,ind,HUM
65,city oldest relationship sisterðcity Los Angeles,city,LOC
66,caldera,def,DESC
67,people get calluses,reason,DESC
68,names tourist attractions Reims,other,LOC
69,Cushman Wakefield known,reason,DESC
70,body water Danube River flow,other,LOC
71,founder Scientology,ind,HUM
72,six-footed Musca domestica become enters house,other,ENTY
73,history skateboarding,desc,DESC
74,starred Singing Rain Singing Nun,ind,HUM
75,make fuel bricks recycled newspaper,manner,DESC
76,19th-century painter died Marquesas Islands,ind,HUM
77,corpus callosum part body,body,ENTY
78,log home page Headquarters U.S. European Command,manner,DESC
79,"country Nazis occupy 1 , CD NNS NNP NNP NNP .",country,LOC
80,Nebraska valuable resource,other,ENTY
81,many species Great White shark,count,NUM
82,origin head lice,desc,DESC
83,nickname state Mississippi,state,LOC
84,first domesticated bird,animal,ENTY
85,many villi found small intestine,count,NUM
86,country King Wenceslas rule,country,LOC
87,fear shadows,dismed,ENTY
88,five Marx brothers,ind,HUM
89,year New Zealand excluded ANZUS alliance,date,NUM
90,CNN begin broadcasting,date,NUM
91,causes body shiver cold temperatures,reason,DESC
92,bear bull markets,def,DESC
93,J.R.R. Tolkien book features Bilbo Baggins central character,cremat,ENTY
94,`` dew point '',def,DESC
95,meaning Jesus,def,DESC
96,company logo `` W '' circle,gr,HUM
97,definition cascade,def,DESC
98,Rococo painting architecture flourish,date,NUM
99,country national passenger rail system called Via,country,LOC
100,invented Make-up,ind,HUM
101,origin word `` attic '',desc,DESC
102,Delilah Samson hair,desc,DESC
103,kind animals Paleozoic era,animal,ENTY
104,following Rhodes Scholar,ind,HUM
105,comprised now-defunct comic book team known Champions,ind,HUM
106,make paintball,manner,DESC
107,U.S. state Fort Knox,state,LOC
108,female rabbit called,animal,ENTY
